Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-15,1,223,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-16,2,149,0.01,0,20,0,120,0,1920,1920,0,2034,0,1200,834,20,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-17,3,157,0.0,0,26,0,156,0,2496,2496,0,2671,0,1560,1111,26,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-18,4,165,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-19,5,175,0.02,0,1,0,6,0,96,96,0,101,0,60,41,1,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-20,6,232,0.01,0,27,0,162,0,2592,2592,0,2746,0,1620,1126,27,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-21,7,314,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-15,1,64,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-16,2,39,0.0,1,5,7,30,126,510,636,135,546,80,300,301,6,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-17,3,41,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-18,4,43,0.08,0,5,0,30,0,540,540,0,532,0,300,232,5,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-19,5,46,0.01,2,5,14,30,252,510,762,267,540,160,300,347,7,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-20,6,55,0.01,1,8,7,48,126,816,942,133,864,80,480,437,9,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-21,7,81,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
