Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O2,HILL_CLIMBING,Lancaster,2014-06-19,5,90,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Lancaster,2014-06-20,6,130,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Lancaster,2014-06-21,7,144,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Philadelphia,2014-06-15,1,223,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Philadelphia,2014-06-16,2,149,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Philadelphia,2014-06-17,3,157,0.0,0,26,0,156,0,2496,2496,0,2671,0,1560,1111,26,0
O2,HILL_CLIMBING,Philadelphia,2014-06-18,4,165,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Philadelphia,2014-06-19,5,175,0.0,0,22,0,132,0,2112,2112,0,2260,0,1320,940,22,0
O2,HILL_CLIMBING,Philadelphia,2014-06-20,6,232,0.0,6,30,42,180,714,2880,3594,764,3082,480,1800,1566,36,0
O2,HILL_CLIMBING,Philadelphia,2014-06-21,7,314,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Richmond,2014-06-15,1,64,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Richmond,2014-06-16,2,39,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Richmond,2014-06-17,3,41,0.0,0,6,0,36,0,612,612,0,655,0,360,295,6,0
O2,HILL_CLIMBING,Richmond,2014-06-18,4,43,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Richmond,2014-06-19,5,46,0.0,0,7,0,42,0,714,714,0,764,0,420,344,7,0
O2,HILL_CLIMBING,Richmond,2014-06-20,6,55,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Richmond,2014-06-21,7,81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Baltimore,2014-06-15,1,97,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Baltimore,2014-06-16,2,61,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-17,3,65,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-18,4,71,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-19,5,65,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-20,6,89,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-21,7,125,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Lancaster,2014-06-15,1,131,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Lancaster,2014-06-16,2,69,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-17,3,84,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-18,4,81,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-19,5,90,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-20,6,130,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-21,7,144,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Philadelphia,2014-06-15,1,223,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Philadelphia,2014-06-16,2,149,0.0,0,23,0,138,0,2208,2208,0,2363,0,1380,983,23,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-17,3,157,0.0,0,23,0,138,0,2208,2208,0,2363,0,1380,983,23,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-18,4,165,0.0,0,23,0,138,0,2208,2208,0,2363,0,1380,983,23,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-19,5,175,0.0,0,16,0,96,0,1536,1536,0,1644,0,960,684,16,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-20,6,232,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-21,7,314,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Richmond,2014-06-15,1,64,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Richmond,2014-06-16,2,39,0.0,0,6,0,36,0,612,612,0,655,0,360,295,6,0
O3_PARETO,NSGA_II,Richmond,2014-06-17,3,41,0.01,0,6,0,36,0,612,612,0,648,0,360,288,6,0
O3_PARETO,NSGA_II,Richmond,2014-06-18,4,43,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Richmond,2014-06-19,5,46,0.01,0,6,0,36,0,612,612,0,648,0,360,288,6,0
O3_PARETO,NSGA_II,Richmond,2014-06-20,6,55,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Richmond,2014-06-21,7,81,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-15,1,97,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-16,2,61,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-17,3,65,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-18,4,71,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-19,5,65,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-20,6,89,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-21,7,125,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-15,1,131,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-16,2,69,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-17,3,84,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-18,4,81,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-19,5,90,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-20,6,130,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-21,7,144,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-15,1,223,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-16,2,149,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-17,3,157,0.0,0,10,0,60,0,960,960,0,1027,0,600,427,10,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-18,4,165,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-19,5,175,0.0,0,29,0,174,0,2784,2784,0,2979,0,1740,1239,29,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-20,6,232,0.0,0,38,0,228,0,3648,3648,0,3903,0,2280,1623,38,0
O3_WEIGHTED,GENETIC_ALGORITHM,Philadelphia,2014-06-21,7,314,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-15,1,64,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-16,2,39,0.02,0,6,0,36,0,612,612,0,642,0,360,282,6,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-17,3,41,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-18,4,43,0.01,1,5,7,30,126,510,636,133,540,80,300,293,6,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-19,5,46,0.04,1,3,7,18,133,306,439,137,314,80,180,191,4,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-20,6,55,0.01,0,9,0,54,0,918,918,0,972,0,540,432,9,0
O3_WEIGHTED,GENETIC_ALGORITHM,Richmond,2014-06-21,7,81,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
