Split,Horizon,Method,LagSet,y_true,y_pred,Store
5,5,RandomForest_MV,mv_lag7,69.0,70.8,Baltimore
5,6,RandomForest_MV,mv_lag7,77.0,92.58,Baltimore
5,7,RandomForest_MV,mv_lag7,118.0,124.54,Baltimore
5,1,XGBoost_MV,mv_lag7,95.0,74.29550170898438,Baltimore
5,2,XGBoost_MV,mv_lag7,61.0,95.44674682617188,Baltimore
5,3,XGBoost_MV,mv_lag7,73.0,55.65294647216797,Baltimore
5,4,XGBoost_MV,mv_lag7,71.0,55.423954010009766,Baltimore
5,5,XGBoost_MV,mv_lag7,69.0,63.87239456176758,Baltimore
5,6,XGBoost_MV,mv_lag7,77.0,75.32695770263672,Baltimore
5,7,XGBoost_MV,mv_lag7,118.0,128.1936798095703,Baltimore
5,1,LinearReg_MV,mv_lag7,95.0,120.460379523315,Baltimore
5,2,LinearReg_MV,mv_lag7,61.0,125.69634351930024,Baltimore
5,3,LinearReg_MV,mv_lag7,73.0,60.76038844321904,Baltimore
5,4,LinearReg_MV,mv_lag7,71.0,84.31855077842752,Baltimore
5,5,LinearReg_MV,mv_lag7,69.0,105.46440924527576,Baltimore
5,6,LinearReg_MV,mv_lag7,77.0,124.15549679018203,Baltimore
5,7,LinearReg_MV,mv_lag7,118.0,118.09583346735688,Baltimore
5,1,RandomForest_MV,mv_lag14,95.0,101.32,Baltimore
5,2,RandomForest_MV,mv_lag14,61.0,79.73,Baltimore
5,3,RandomForest_MV,mv_lag14,73.0,57.9,Baltimore
5,4,RandomForest_MV,mv_lag14,71.0,66.32,Baltimore
5,5,RandomForest_MV,mv_lag14,69.0,70.0,Baltimore
5,6,RandomForest_MV,mv_lag14,77.0,92.12,Baltimore
5,7,RandomForest_MV,mv_lag14,118.0,133.33,Baltimore
5,1,XGBoost_MV,mv_lag14,95.0,102.26846313476562,Baltimore
5,2,XGBoost_MV,mv_lag14,61.0,66.53567504882812,Baltimore
5,3,XGBoost_MV,mv_lag14,73.0,47.4409065246582,Baltimore
5,4,XGBoost_MV,mv_lag14,71.0,63.829864501953125,Baltimore
5,5,XGBoost_MV,mv_lag14,69.0,73.10480499267578,Baltimore
5,6,XGBoost_MV,mv_lag14,77.0,89.22014617919922,Baltimore
5,7,XGBoost_MV,mv_lag14,118.0,136.3538818359375,Baltimore
5,1,LinearReg_MV,mv_lag14,95.0,114.92871468972949,Baltimore
5,2,LinearReg_MV,mv_lag14,61.0,121.42496592088573,Baltimore
5,3,LinearReg_MV,mv_lag14,73.0,55.68940803474334,Baltimore
5,4,LinearReg_MV,mv_lag14,71.0,90.36017657308744,Baltimore
5,5,LinearReg_MV,mv_lag14,69.0,93.51613516478022,Baltimore
5,6,LinearReg_MV,mv_lag14,77.0,132.53554207119922,Baltimore
5,7,LinearReg_MV,mv_lag14,118.0,133.9311288566905,Baltimore
6,1,ARIMAX,-,61.0,441.0,Baltimore
6,2,ARIMAX,-,73.0,57.0,Baltimore
6,3,ARIMAX,-,71.0,75.0,Baltimore
6,4,ARIMAX,-,69.0,63.0,Baltimore
6,5,ARIMAX,-,77.0,80.0,Baltimore
6,6,ARIMAX,-,118.0,128.0,Baltimore
6,7,ARIMAX,-,97.0,95.0,Baltimore
6,1,VAR,-,61.0,115.27486097447837,Baltimore
6,2,VAR,-,73.0,109.15007262897844,Baltimore
6,3,VAR,-,71.0,118.02795661026838,Baltimore
6,4,VAR,-,69.0,96.04699236648295,Baltimore
6,5,VAR,-,77.0,109.17351052236842,Baltimore
6,6,VAR,-,118.0,112.64799721329703,Baltimore
